City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date, Median_Typical_Rental_Rate ,Link
11,Texas,TX,Austin,1/1/2018," $1,414.22 ",https://www.zillow.com/research/data/
12,Florida,FL,Jacksonville,1/1/2018," $1,181.16 ",https://www.zillow.com/research/data/
13,Texas,TX,Fort Worth,1/1/2018," $1,299.42 ",https://www.zillow.com/research/data/
14,Ohio,OH,Columbus,1/1/2018," $1,088.82 ",https://www.zillow.com/research/data/
15,Indiana,IN,Indianapolis,1/1/2018, $964.84 ,https://www.zillow.com/research/data/
16,North Carolina,NC,Charlotte,1/1/2018," $1,325.89 ",https://www.zillow.com/research/data/
17,California,CA,San Francisco,1/1/2018," $3,464.51 ",https://www.zillow.com/research/data/
18,Washington,WA,Seattle,1/1/2018," $2,014.98 ",https://www.zillow.com/research/data/
19,Colorado,CO,Denver,1/1/2018," $1,647.58 ",https://www.zillow.com/research/data/
20,Oklahoma,OK,Oklahoma City,1/1/2018, $967.38 ,https://www.zillow.com/research/data/
21,Tennessee,TN,Nashville,1/1/2018," $1,387.25 ",https://www.zillow.com/research/data/
22,Texas,TX,El Paso,1/1/2018," $1,067.91 ",https://www.zillow.com/research/data/
23,District of Columbia,DC,Washington,1/1/2018," $2,253.76 ",https://www.zillow.com/research/data/
24,Massachusetts,MA,Boston,1/1/2018," $2,582.13 ",https://www.zillow.com/research/data/
25,Nevada,NV,Las Vegas,1/1/2018," $1,255.29 ",https://www.zillow.com/research/data/
26,Oregon,OR,Portland,1/1/2018," $1,571.10 ",https://www.zillow.com/research/data/
27,Michigan,MI,Detroit,1/1/2018, $953.77 ,https://www.zillow.com/research/data/
28,Kentucky,KY,Louisville,1/1/2018," $1,009.94 ",https://www.zillow.com/research/data/
29,Tennessee,TN,Memphis,1/1/2018, $921.45 ,https://www.zillow.com/research/data/
30,Maryland,MD,Baltimore,1/1/2018," $1,358.92 ",https://www.zillow.com/research/data/
31,Wisconsin,WI,Milwaukee,1/1/2018," $1,015.96 ",https://www.zillow.com/research/data/
32,New Mexico,NM,Albuquerque,1/1/2018," $1,067.56 ",https://www.zillow.com/research/data/
33,California,CA,Fresno,1/1/2018," $1,360.42 ",https://www.zillow.com/research/data/
34,Arizona,AZ,Tucson,1/1/2018," $1,054.40 ",https://www.zillow.com/research/data/
35,California,CA,Sacramento,1/1/2018," $1,580.10 ",https://www.zillow.com/research/data/
36,Arizona,AZ,Mesa,1/1/2018," $1,126.95 ",https://www.zillow.com/research/data/
37,Missouri,MO,Kansas City,1/1/2018, $978.79 ,https://www.zillow.com/research/data/
38,Georgia,GA,Atlanta,1/1/2018," $1,556.62 ",https://www.zillow.com/research/data/
39,Nebraska,NE,Omaha,1/1/2018, $999.19 ,https://www.zillow.com/research/data/
40,Colorado,CO,Colorado Springs,1/1/2018," $1,357.25 ",https://www.zillow.com/research/data/
41,North Carolina,NC,Raleigh,1/1/2018," $1,258.15 ",https://www.zillow.com/research/data/
42,Virginia,VA,Virginia Beach,1/1/2018," $1,387.35 ",https://www.zillow.com/research/data/
43,California,CA,Long Beach,1/1/2018," $1,804.56 ",https://www.zillow.com/research/data/
44,Florida,FL,Miami,1/1/2018," $2,123.28 ",https://www.zillow.com/research/data/
45,California,CA,Oakland,1/1/2018," $2,674.99 ",https://www.zillow.com/research/data/
46,Minnesota,MN,Minneapolis,1/1/2018," $1,469.13 ",https://www.zillow.com/research/data/
47,Oklahoma,OK,Tulsa,1/1/2018, $915.80 ,https://www.zillow.com/research/data/
48,California,CA,Bakersfield,1/1/2018," $1,354.56 ",https://www.zillow.com/research/data/
49,Kansas,KS,Wichita,1/1/2018, $785.53 ,https://www.zillow.com/research/data/
50,Texas,TX,Arlington,1/1/2018," $1,278.55 ",https://www.zillow.com/research/data/
51,Colorado,CO,Aurora,1/1/2018," $1,466.05 ",https://www.zillow.com/research/data/
52,Florida,FL,Tampa,1/1/2018," $1,436.43 ",https://www.zillow.com/research/data/
53,Louisiana,LA,New Orleans,1/1/2018," $1,415.90 ",https://www.zillow.com/research/data/
54,Ohio,OH,Cleveland,1/1/2018," $1,038.45 ",https://www.zillow.com/research/data/
55,California,CA,Anaheim,1/1/2018," $2,017.81 ",https://www.zillow.com/research/data/
56,Hawaii,HI,Honolulu,1/1/2018," $1,946.90 ",https://www.zillow.com/research/data/
57,Nevada,NV,Henderson,1/1/2018," $1,311.48 ",https://www.zillow.com/research/data/
58,California,CA,Stockton,1/1/2018," $1,414.75 ",https://www.zillow.com/research/data/
59,Kentucky,KY,Lexington,1/1/2018," $1,019.69 ",https://www.zillow.com/research/data/
60,Texas,TX,Corpus Christi,1/1/2018," $1,161.90 ",https://www.zillow.com/research/data/
61,California,CA,Riverside,1/1/2018," $1,773.64 ",https://www.zillow.com/research/data/
62,California,CA,Santa Ana,1/1/2018," $2,318.88 ",https://www.zillow.com/research/data/
63,Florida,FL,Orlando,1/1/2018," $1,457.94 ",https://www.zillow.com/research/data/
64,California,CA,Irvine,1/1/2018," $2,414.27 ",https://www.zillow.com/research/data/
65,Ohio,OH,Cincinnati,1/1/2018, $950.34 ,https://www.zillow.com/research/data/
66,New Jersey,NJ,Newark,1/1/2018," $1,371.52 ",https://www.zillow.com/research/data/
67,Minnesota,MN,Saint Paul,1/1/2018," $1,266.90 ",https://www.zillow.com/research/data/
68,Pennsylvania,PA,Pittsburgh,1/1/2018," $1,141.17 ",https://www.zillow.com/research/data/
69,North Carolina,NC,Greensboro,1/1/2018, $997.82 ,https://www.zillow.com/research/data/
70,Missouri,MO,Saint Louis,1/1/2018, $941.84 ,https://www.zillow.com/research/data/
71,Nebraska,NE,Lincoln,1/1/2018, $963.09 ,https://www.zillow.com/research/data/
72,Texas,TX,Plano,1/1/2018," $1,387.49 ",https://www.zillow.com/research/data/
73,Alaska,AK,Anchorage,1/1/2018," $1,456.93 ",https://www.zillow.com/research/data/
