Identifier,Observation_Date,Median_Monthly_Income,percent_to_income_rent,percent_to_income_home_15yr_Payment_10_Perc_Down,percent_to_income_home_15yr_Payment_20_Perc_Down,percent_to_income_home_30yr_Payment_10_Perc_Down,percent_to_income_home_30yr_Payment_20_Perc_Down,percent_to_income_1br_15yr_Payment_10_Perc_Down,percent_to_income_1br_15yr_Payment_20_Perc_Down,percent_to_income_1br_30yr_Payment_10_Perc_Down,percent_to_income_1br_30yr_Payment_20_Perc_Down,percent_to_income_2br_15yr_Payment_10_Perc_Down,percent_to_income_2br_15yr_Payment_20_Perc_Down,percent_to_income_2br_30yr_Payment_10_Perc_Down,percent_to_income_2br_30yr_Payment_20_Perc_Down,percent_to_income_3br_15yr_Payment_10_Perc_Down,percent_to_income_3br_15yr_Payment_20_Perc_Down,percent_to_income_3br_30yr_Payment_10_Perc_Down,percent_to_income_3br_30yr_Payment_20_Perc_Down,percent_to_income_4br_15yr_Payment_10_Perc_Down,percent_to_income_4br_15yr_Payment_20_Perc_Down,percent_to_income_4br_30yr_Payment_10_Perc_Down,percent_to_income_4br_30yr_Payment_20_Perc_Down,percent_to_income_5_plus_br_15yr_Payment_10_Perc_Down,percent_to_income_5_plus_br_15yr_Payment_20_Perc_Down,percent_to_income_5_plus_br_30yr_Payment_10_Perc_Down,percent_to_income_5_plus_br_30yr_Payment_20_Perc_Down
201407,2014-01-01,4224.92,0.21,0.23,0.2,0.16,0.14,0.1,0.09,0.07,0.06,0.14,0.12,0.09,0.08,0.2,0.18,0.14,0.13,0.31,0.27,0.21,0.19,0.43,0.38,0.3,0.26
201507,2015-01-01,4072.42,0.22,0.25,0.22,0.17,0.15,0.11,0.1,0.08,0.07,0.15,0.13,0.1,0.09,0.22,0.2,0.15,0.13,0.33,0.29,0.22,0.2,0.45,0.4,0.31,0.27
201607,2016-01-01,4105.67,0.23,0.26,0.24,0.18,0.16,0.12,0.1,0.08,0.07,0.16,0.14,0.11,0.09,0.24,0.21,0.16,0.14,0.34,0.3,0.23,0.2,0.46,0.41,0.31,0.27
201707,2017-01-01,4170.33,0.22,0.28,0.25,0.19,0.17,0.13,0.11,0.09,0.08,0.18,0.16,0.12,0.11,0.25,0.23,0.17,0.15,0.36,0.32,0.24,0.22,0.48,0.43,0.33,0.29
201807,2018-01-01,4085.33,0.24,0.32,0.28,0.22,0.2,0.15,0.13,0.1,0.09,0.21,0.18,0.14,0.13,0.29,0.26,0.2,0.18,0.4,0.35,0.27,0.24,0.53,0.47,0.36,0.32
201907,2019-01-01,4479.25,0.23,0.3,0.26,0.2,0.18,0.14,0.13,0.1,0.08,0.2,0.18,0.13,0.12,0.27,0.24,0.18,0.16,0.36,0.32,0.24,0.21,0.47,0.42,0.32,0.28
202007,2020-01-01,4451.67,0.23,0.29,0.26,0.18,0.16,0.14,0.13,0.09,0.08,0.19,0.17,0.12,0.11,0.26,0.23,0.17,0.15,0.35,0.31,0.22,0.2,0.46,0.41,0.29,0.26
202107,2021-01-01,4576.92,0.25,0.32,0.28,0.2,0.18,0.15,0.14,0.1,0.09,0.21,0.19,0.14,0.12,0.29,0.26,0.18,0.16,0.39,0.34,0.25,0.22,0.5,0.45,0.32,0.29
201108,2011-01-01,5066.42,0.25,0.56,0.49,0.39,0.34,0.24,0.21,0.17,0.15,0.39,0.34,0.27,0.24,0.5,0.44,0.34,0.31,0.66,0.59,0.46,0.41,1.01,0.9,0.7,0.62
201208,2012-01-01,5199.58,0.25,0.51,0.45,0.34,0.3,0.21,0.19,0.14,0.13,0.35,0.31,0.23,0.21,0.45,0.4,0.3,0.27,0.61,0.54,0.4,0.36,0.93,0.82,0.62,0.55
201308,2013-01-01,5288.0,0.25,0.6,0.53,0.41,0.37,0.26,0.23,0.18,0.16,0.41,0.37,0.28,0.25,0.54,0.48,0.37,0.33,0.71,0.63,0.48,0.43,1.07,0.95,0.73,0.65
201408,2014-01-01,5649.92,0.25,0.61,0.54,0.42,0.37,0.28,0.25,0.2,0.17,0.43,0.38,0.3,0.26,0.54,0.48,0.38,0.33,0.71,0.63,0.49,0.44,1.06,0.95,0.74,0.65
201508,2015-01-01,5655.92,0.26,0.62,0.55,0.42,0.37,0.29,0.26,0.19,0.17,0.43,0.39,0.29,0.26,0.55,0.49,0.37,0.33,0.72,0.64,0.49,0.43,1.07,0.95,0.72,0.64
201608,2016-01-01,5956.75,0.26,0.61,0.54,0.41,0.36,0.29,0.26,0.19,0.17,0.43,0.39,0.29,0.26,0.55,0.49,0.37,0.33,0.71,0.63,0.47,0.42,1.05,0.93,0.7,0.62
201708,2017-01-01,6388.5,0.26,0.63,0.56,0.43,0.38,0.31,0.27,0.21,0.18,0.45,0.4,0.31,0.27,0.57,0.51,0.39,0.34,0.73,0.65,0.49,0.44,1.07,0.95,0.72,0.64
201808,2018-01-01,6637.17,0.26,0.68,0.6,0.47,0.42,0.34,0.3,0.23,0.21,0.49,0.44,0.34,0.3,0.62,0.55,0.43,0.38,0.78,0.7,0.54,0.48,1.15,1.02,0.79,0.7
201908,2019-01-01,7125.58,0.25,0.62,0.55,0.41,0.37,0.31,0.27,0.2,0.18,0.45,0.4,0.3,0.27,0.56,0.5,0.38,0.33,0.71,0.63,0.48,0.42,1.04,0.92,0.7,0.62
202008,2020-01-01,6954.5,0.25,0.63,0.56,0.4,0.36,0.31,0.27,0.2,0.17,0.45,0.4,0.29,0.26,0.58,0.51,0.37,0.33,0.73,0.64,0.46,0.41,1.06,0.94,0.68,0.6
202108,2021-01-01,7753.5,0.25,0.69,0.62,0.44,0.39,0.31,0.28,0.2,0.18,0.47,0.42,0.3,0.27,0.63,0.56,0.4,0.36,0.8,0.71,0.51,0.45,1.16,1.03,0.74,0.66
201109,2011-01-01,3382.08,0.23,0.25,0.22,0.17,0.15,0.14,0.12,0.1,0.08,0.18,0.16,0.13,0.11,0.23,0.2,0.16,0.14,0.49,0.43,0.34,0.3,1.14,1.02,0.79,0.71
201209,2012-01-01,3446.17,0.23,0.23,0.2,0.15,0.14,0.13,0.11,0.09,0.08,0.17,0.15,0.11,0.1,0.21,0.19,0.14,0.12,0.46,0.41,0.31,0.27,1.07,0.95,0.71,0.63
201309,2013-01-01,3498.17,0.24,0.24,0.21,0.17,0.15,0.14,0.12,0.09,0.08,0.18,0.16,0.12,0.11,0.22,0.19,0.15,0.13,0.49,0.44,0.34,0.3,1.14,1.01,0.78,0.69
201409,2014-01-01,3583.58,0.24,0.26,0.23,0.18,0.16,0.15,0.13,0.1,0.09,0.19,0.17,0.13,0.12,0.23,0.21,0.16,0.14,0.53,0.47,0.37,0.33,1.2,1.07,0.83,0.74
201509,2015-01-01,3826.5,0.24,0.26,0.23,0.18,0.16,0.15,0.13,0.1,0.09,0.19,0.17,0.13,0.12,0.23,0.21,0.16,0.14,0.54,0.48,0.37,0.32,1.21,1.07,0.81,0.72
201609,2016-01-01,3936.92,0.24,0.28,0.25,0.18,0.16,0.16,0.14,0.11,0.1,0.21,0.19,0.14,0.12,0.25,0.22,0.16,0.15,0.56,0.5,0.38,0.33,1.23,1.09,0.82,0.73
201709,2017-01-01,4218.92,0.24,0.29,0.26,0.2,0.18,0.18,0.16,0.12,0.11,0.22,0.2,0.15,0.13,0.26,0.23,0.18,0.16,0.58,0.51,0.39,0.35,1.22,1.09,0.83,0.74
201809,2018-01-01,4350.83,0.24,0.33,0.3,0.23,0.2,0.21,0.18,0.14,0.13,0.26,0.23,0.18,0.16,0.3,0.27,0.21,0.18,0.62,0.56,0.43,0.38,1.3,1.16,0.9,0.8
201909,2019-01-01,4611.0,0.24,0.32,0.29,0.22,0.19,0.2,0.17,0.13,0.12,0.26,0.23,0.17,0.15,0.3,0.26,0.2,0.18,0.59,0.52,0.39,0.35,1.2,1.06,0.8,0.71
