City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date,Median_Taxes,Median_Typical_Home_Value,AnnualAverageRate15Year,15yr_Payment_10_Perc_Down,15yr_Payment_20_Perc_Down,AnnualAverageRate30Year,30yr_Payment_10_Perc_Down,30yr_Payment_20_Perc_Down
10,California,CA,San Jose,1/1/2018,8046,1157092.0,4.0,7702.982830971606,6847.095849752539,4.54,5301.313158760428,4712.278363342603
10,California,CA,San Jose,1/1/2019,8729,1066964.0,3.39,6813.030550516581,6056.0271560147385,3.94,4551.310304854595,4045.6091598707517
10,California,CA,San Jose,1/1/2020,1368,1109449.5,2.61,6709.748208897608,5964.220630131207,3.11,4269.203402981709,3794.8474693170742
10,California,CA,San Jose,1/1/2021,1871,1311137.5,2.27,7741.149392339857,6881.021682079871,2.96,4949.607298247925,4399.650931775934
11,Texas,TX,Austin,1/1/2011,4361,226502.0,3.68,1475.3867542663218,1311.454892681175,4.45,1026.8397603285268,912.746453625357
11,Texas,TX,Austin,1/1/2012,4563,235254.0,2.93,1455.041296106774,1293.370040983799,3.66,969.7667644257095,862.0149017117419
11,Texas,TX,Austin,1/1/2013,4707,259171.0,3.11,1623.1773688906903,1442.8243279028359,3.98,1110.9019991450505,987.4684436844893
11,Texas,TX,Austin,1/1/2014,5074,289027.0,3.29,1832.873470880729,1629.2208630050923,4.17,1267.5019462786142,1126.6683966921016
11,Texas,TX,Austin,1/1/2015,5196,312608.0,3.09,1955.1334217487733,1737.8963748877986,3.85,1318.9788347772615,1172.4256309131213
11,Texas,TX,Austin,1/1/2016,5648,338906.0,2.93,2096.1268479956234,1863.2238648849984,3.65,1395.3221094218395,1240.2863194860795
11,Texas,TX,Austin,1/1/2017,5900,354855.0,3.28,2248.7692575006345,1998.9060066672305,3.99,1522.878211408074,1353.6695212516213
11,Texas,TX,Austin,1/1/2018,6554,369228.5,4.0,2458.024769167361,2184.9109059265425,4.54,1691.6510576854519,1503.689829053735
11,Texas,TX,Austin,1/1/2019,6824,386678.5,3.39,2469.110891958797,2194.765237296708,3.94,1649.4406950147502,1466.169506679778
11,Texas,TX,Austin,1/1/2020,1496,416094.5,2.61,2516.463639045441,2236.856568040392,3.11,1601.1472855339268,1423.242031585713
11,Texas,TX,Austin,1/1/2021,2177,590289.0,2.27,3485.1534134710514,3097.9141453076018,2.96,2228.3694444522175,1980.7728395130828
12,Florida,FL,Jacksonville,1/1/2011,1704,123201.0,3.68,802.5056004466411,713.3383115081253,4.45,558.5278951719403,496.46924015283577
12,Florida,FL,Jacksonville,1/1/2012,1510,115980.0,2.93,717.3339859150691,637.6302097022835,3.66,478.0940997309027,424.9725330941358
12,Florida,FL,Jacksonville,1/1/2013,1458,127215.5,3.11,796.7454714150642,708.2181968133905,3.98,545.2923099893012,484.7042755460455
12,Florida,FL,Jacksonville,1/1/2014,1445,139686.0,3.29,885.822998036327,787.3982204767351,4.17,612.5804055256932,544.5159160228383
12,Florida,FL,Jacksonville,1/1/2015,1525,146252.5,3.09,914.7019614479235,813.068410175932,3.85,617.0793838713706,548.5150078856627
12,Florida,FL,Jacksonville,1/1/2016,1590,156798.0,2.93,969.7925014960425,862.0377791075932,3.65,645.5586980257817,573.829953800695
12,Florida,FL,Jacksonville,1/1/2017,1749,169940.5,3.28,1076.9383889314977,957.2785679391089,3.99,729.308265871395,648.2740141079065
12,Florida,FL,Jacksonville,1/1/2018,1697,186007.5,4.0,1238.2875164048762,1100.700014582112,4.54,852.2088195045254,757.5189506706893
12,Florida,FL,Jacksonville,1/1/2019,1902,196951.0,3.39,1257.6180451775235,1117.8827068244655,3.94,840.1268607482702,746.7794317762404
12,Florida,FL,Jacksonville,1/1/2020,4907,207243.0,2.61,1253.3678622204677,1114.1047664181935,3.11,797.4788585186961,708.8700964610633
